Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?a mother ?c   ?d spouse ?c   ?b spouse ?d,?a parent ?b,946,0.17230443974630022,0.5582191780821918,163,3,292,?a
?b child ?c,Margaret_of_Anjou parent ?b,2,1.0,0.00468384074941452,2,1,427,?b
?a mother ?c,?a child Rudolf_II_Holy_Roman_Emperor,2,1.0,0.006968641114982578,2,1,287,?a
?b parent ?c,Robert_II_of_France spouse ?b,3,1.0,0.004838709677419355,3,1,620,?b
Edward_I_of_England parent ?a,?a child Beatrice_of_England,2,1.0,1.0,2,1,2,?a
Louis_II_of_Anjou child ?b,Yolande_of_Aragon child ?b,3,0.6666666666666666,0.5,2,1,4,?b
Maria_Luisa_of_Spain child ?a,?a hasSpouse No,1169,0.006843455945252352,0.8888888888888888,8,1,9,?a
?b hasSpouse Yes,Louis_the_Stammerer spouse ?b,2,1.0,0.002635046113306983,2,1,759,?b
?b hasSpouse ?c,Henry_the_Fowler child ?b,6,1.0,0.0031120331950207467,6,1,1928,?b
?a gender ?c,?a parent Joanna_of_Bourbon,2,1.0,0.0041841004184100415,2,1,478,?a
?b gender ?c,Berengaria_of_Barcelona parent ?b,2,1.0,0.002242152466367713,2,1,892,?b
