Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?a hasSpouse ?c   ?d hasSpouse ?c   ?b child ?d,?a successor ?b,354,0.3728813559322034,0.0017020837631524653,132,3,77552,?a
?c successor ?a   ?c successor ?b,?a predecessor ?b,358,0.036312849162011177,0.0391566265060241,13,2,332,?a
?c spouse ?a   ?b spouse ?c,?a parent ?b,946,0.004228329809725159,0.008928571428571428,4,2,448,?a
?a hasSpouse ?c   ?d hasSpouse ?c   ?b father ?d,?a spouse ?b,865,0.22890173410404624,0.0010916127751773872,198,3,181383,?a
?c parent ?a   ?d child ?c   ?d child ?b,?a successor ?b,354,0.3361581920903955,0.19734660033167495,119,3,603,?a
?a hasSpouse ?c   ?d hasSpouse ?c   ?d parent ?b,?a parent ?b,946,0.7558139534883721,0.002925316466054055,715,3,244418,?a
?c predecessor ?a   ?b predecessor ?c,?a successor ?b,354,0.0480225988700565,0.07142857142857142,17,2,238,?a
?a successor ?c   ?c parent ?b,?a mother ?b,408,0.00980392156862745,0.023809523809523808,4,2,168,?a
?a spouse ?c   ?c mother ?d   ?d gender ?b,?a gender ?b,892,0.15134529147982062,0.6,135,3,225,?a
?c name ?a   ?b name ?c,?a spouse ?b,865,0.0,0.0,0,2,69,?a
?a father ?c   ?c child ?b,?a parent ?b,946,0.0021141649048625794,0.0020512820512820513,2,2,975,?a
?a child ?c   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.3276955602536998,0.000534470779103227,310,3,580013,?a
?c father ?a   ?d father ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.09653092006033183,1.0,256,3,256,?a
?a spouse ?c   ?c predecessor ?d   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.04719917012448133,0.6190476190476191,91,3,147,?a
?c name ?a   ?c parent ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.17081447963800905,1.0,453,3,453,?a
?a mother ?c   ?c father ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.07918552036199095,1.0,210,3,210,?a
